Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
Westmarkstraße 7 · 46149 Oberhausen,51.5217616,6.8293458,46149,461,51.5019153,6.8829559,4.316682224
Aschaffenburger Straße 86 · 63801 Kleinostheim,49.9976095,9.0654326,63801,638,49.994494,9.070137,0.482795957
Aschaffenburger Str 58 · 63801 Kleinostheim,49.9971303,9.0657581,63801,638,49.994494,9.070137,0.428843663
Beim Tor 21 · 60549 Frankfurt Am Main,50.0486292,8.5623606,60549,605,50.084038,8.619415,5.664444924
Wiedtalstraße 24 · 53577 Neustadt (Wied),50.6169253,7.4230023,53577,535,50.524575,6.991485,32.15845158
Königswinterer Straße 273 · 53639 Königswinter,50.690939,7.2767291,53639,536,50.64661,7.315041,5.620223527
Buchenweg 107 · 46147 Oberhausen,51.5454564,6.8288681,46147,461,51.5019153,6.8829559,6.119104156
Aschaffenburger Straße 16 · 63773 Nessetal,49.9971108,9.1829898,63773,637,49.973467,9.150821,3.493111137
Im Grund 1 · 92331 Parsberg,49.1761122,11.7297179,92331,923,49.03476,11.474309,24.34609487
Am Heerbach 1 · 63857 Waldaschaff,49.9810075,9.2751754,63857,638,49.994494,9.070137,14.73529952
Biefangstraße 92 · 46149 Oberhausen,51.5124975,6.829244,46149,461,51.5019153,6.8829559,3.899162512
Hauptstraße 229 · 63879 Weibersbrunn,49.930908,9.3649126,63879,638,49.994494,9.070137,22.23920173
Beeker Straße 250 · 46446 Emmerich,51.8825783,6.1761331,46446,464,51.834455,6.701539,36.47658492
Industriestraße 1 · 63768 Hösbach,50.0338594,9.2148331,63768,637,49.973467,9.150821,8.125596617
Hauptstraße 30 · 94469 Deggendorf,48.8456799,12.9779283,94469,944,48.788887,12.895994,8.710265518
Baerndorf 7 · 94327 Bogen,48.9145936,12.7227127,94327,943,48.863376,12.576208,12.13129225
Unterschweinstiege · 60549 Frankfurt,50.0589114,8.5917211,60549,605,50.084038,8.619415,3.422366195
Kapellenberger Weg 1 · 46446 Emmerich,51.8589625,6.2420945,46446,464,51.834455,6.701539,31.67782369
Kattegatweg 1 · 46446 Emmerich,51.8801792,6.1732904,46446,464,51.834455,6.701539,36.63268476
Hauptstraße 163 · 63768 Hösbach,50.0338594,9.2148331,63768,637,49.973467,9.150821,8.125596617
Almosenberg 4 · 97877 Wertheim,49.7713965,9.5876617,97877,978,49.7724862,9.5794393,0.602780975
Am Jöspershecklein 5 · 97828 Altfeld,49.8273777,9.5443896,97828,978,49.7724862,9.5794393,6.601723025
Blaettleinsaecker 1 · 97877 Wertheim,49.7722256,9.5762896,97877,978,49.7724862,9.5794393,0.22803672
Dekkers Waide 1 · 46419 Isselburg,51.8181643,6.4432878,46419,464,51.834455,6.701539,17.84018231
Sebastianstraße 28 · 91058 Erlangen,49.5513015,11.0304347,91058,910,49.591284,11.008751,4.712799328
Triefensteiner Straße 1 · 97828 Marktheidenfeld,49.8239631,9.5611976,97828,978,49.7724862,9.5794393,5.871802013
Unterislinger Weg 13 · 93053 Regensburg,48.9998661,12.1111853,93053,930,48.9945501,12.1113602,0.591249933
Bocholter Straße 6 · 46419 Isselburg,51.8177675,6.4676639,46419,464,51.834455,6.701539,16.17959138
Schwanenkirchener Straße 27 · 94547 Iggensbach,48.7315998,13.1336029,94547,945,48.916002,12.882859,27.52085685
Eichhofener Straße 14 · 93152 Nittendorf/ Undorf,49.027352,11.9318324,93152,931,49.097129,12.4853312,41.06699995
Schwanenkirchner Straße 26 · 94491 Hengersberg,48.7688527,13.0614342,94491,944,48.788887,12.895994,12.32541692
Marktstraße 37 · 97355 Rüdenhausen,44.5395868,-122.7709422,97355,973,49.73103,10.172022,8585.799168
Neutraublinger Straße 12 · 93092 Barbing,49.001357,12.1974611,93092,930,48.9945501,12.1113602,6.326793684
Schillerstraße 80 · 63741 Aschaffenburg,49.9855777,9.1368296,63741,637,49.973467,9.150821,1.677610412
Gewerbegebiet Bärndorf 4 · 94327 Bogen,48.9139459,12.7227315,94327,943,48.863376,12.576208,12.09892705
Stuttgarter Straße 21 · 97084 Würzburg,49.7582071,9.9436629,97084,970,49.799515,9.936886,4.618931988
Marktstraße 32 · 97355 Rüdenhausen,44.5395868,-122.7709422,97355,973,49.73103,10.172022,8585.799168
Bajuwarenstraße 5 · 93053 Regensburg,48.9974893,12.1204215,93053,930,48.9945501,12.1113602,0.737454364
